name,meal_type,calories,cost,prep_time,vegetarian,allergens,attributes
Paratha Omelette,Breakfast,420,120,15,False,"eggs,gluten","quick, spicy"
Chana Paratha,Breakfast,380,100,10,True,gluten,"quick, healthy"
Halwa Puri,Breakfast,550,180,25,True,gluten,"sweet"
Aloo Sandwich,Breakfast,320,80,8,True,gluten,"quick"
Oat Banana Bowl,Breakfast,300,90,5,True,milk,"sweet, healthy"
Egg Scramble and Toast,Breakfast,350,110,10,False,eggs,"quick, light"
Spinach and Cheese Wrap,Breakfast,400,120,12,True,"milk,gluten","quick, light"
Mango Smoothie,Breakfast,250,80,5,True,milk,"sweet, quick"
Vegetable Upma,Breakfast,360,100,15,True,,"healthy, quick"
Masala Dosa,Breakfast,400,130,20,True,gluten,"spicy, quick"
Vegetable Sandwich,Breakfast,330,90,10,True,gluten,"healthy, quick"
Egg Paratha,Breakfast,450,120,15,False,"eggs,gluten","quick, heavy"
Smoothie Bowl,Breakfast,320,100,5,True,milk,"sweet, healthy"
Avocado Toast,Breakfast,350,110,10,True,gluten,"quick, healthy"

Chicken Biryani,Lunch,650,220,40,False,gluten,"spicy, heavy"
Vegetable Khichdi,Lunch,420,150,25,True,,"healthy, light"
Grilled Chicken Salad,Lunch,350,180,12,False,,"healthy, quick"
Daal Chawal,Lunch,480,140,30,True,,"healthy"
Sandwich and Fruit,Lunch,360,160,7,True,gluten,"quick, light"
Beef Qorma,Lunch,700,260,35,False,gluten,"spicy"
Paneer Butter Masala,Lunch,500,180,25,True,milk,"spicy, heavy"
Veggie Pasta,Lunch,450,150,20,True,gluten,"quick, healthy"
Vegetable Soup,Lunch,300,100,10,True,,"light, healthy"
Paneer Wrap,Lunch,420,150,15,True,"milk,gluten","quick, healthy"
Grilled Veg Sandwich,Lunch,400,150,15,True,gluten,"healthy, quick"
Falafel Bowl,Lunch,450,150,20,True,,"healthy, light"
High-Protein Paneer Curry,Lunch,650,200,30,True,milk,"heavy, spicy"
Chickpea Stew,Lunch,620,180,25,True,,"heavy, healthy"

Chicken Handi,Dinner,550,250,30,False,milk,"spicy, heavy"
Vegetable Pulao,Dinner,480,160,25,True,,"light"
Beef Nihari,Dinner,800,300,45,False,gluten,"spicy, heavy"
Grilled Fish and Rice,Dinner,520,280,30,False,fish,"healthy"
Daal and Roti,Dinner,430,120,20,True,gluten,"light, healthy"
Paneer Masala,Dinner,500,200,30,True,milk,"healthy, spicy"
Aloo Gobi,Dinner,450,140,25,True,,"healthy, light"
Mushroom Stir Fry,Dinner,400,130,20,True,,"quick, healthy"
Veggie Pizza,Dinner,550,200,30,True,gluten,"spicy, heavy"
Rajma Chawal,Dinner,480,140,30,True,,"healthy, light"
Paneer Tikka,Dinner,500,180,25,True,milk,"spicy, healthy"
Vegetable Fried Rice,Dinner,450,150,20,True,,"quick, light"
Lentil Soup,Dinner,400,130,20,True,,"light, healthy"
High-Calorie Paneer Biryani,Dinner,680,200,35,True,milk,"heavy, spicy"
Stuffed Vegetable Casserole,Dinner,650,180,30,True,,"heavy, healthy"
Veggie Burger,Dinner,500,160,25,True,gluten,"quick, heavy"

Fruit Cup,Snack,120,80,2,True,,"light, quick"
Yogurt Honey Cup,Snack,140,90,3,True,milk,"sweet, light"
Chicken Roll,Snack,260,150,5,False,gluten,"quick, spicy"
Peanut Chikki Bar,Snack,180,70,1,True,nuts,"sweet"
Veggie Chips,Snack,160,60,1,True,,"light"
Chocolate Biscuit Pack,Snack,210,50,1,True,gluten,"sweet"
Apple Slices and Peanut Butter,Snack,200,80,3,True,nuts,"healthy, quick"
Cheese Crackers,Snack,180,70,2,True,"milk,gluten","quick, light"
Mixed Nuts,Snack,220,100,1,True,nuts,"quick, healthy"
Banana Oat Cookies,Snack,150,60,5,True,milk,"sweet, quick"
Hummus with Veggies,Snack,150,80,5,True,,"healthy, quick"
Energy Bar,Snack,200,100,1,True,nuts,"quick, healthy"
Fruit Yogurt Parfait,Snack,180,90,1,True,milk,"sweet, light"
